nace,esize_class,gender,age_class,lpk,education,experience,target,xgb,grb,rf,lm,svr,tf
E,50_249,M,50-59,p723,G2,6,3.41,4.156383,4.631059798051121,4.102329907944389,4.564608122229299,4.073540913006122,4.208013
E,50_249,M,60+,p723,G2,39,4.01,4.1294203,4.248983058064112,4.108620253720414,4.886067762169491,4.080099553663944,4.521482
E,50_249,M,30-39,p214,G3,12,5.62,6.5256443,6.7247165107266405,6.541803070144969,6.854400684052428,6.117454636184724,6.1654487
E,50_249,F,60+,p314,G2,35,2.9,3.6631796,3.669765851630042,3.8418757577977662,2.9047524566192866,3.5126382940295287,3.5274804
E,50_249,M,50-59,p723,G2,11,4.31,4.327466,4.627292033800986,4.170926492398409,4.644775262002628,3.907996694078582,4.2132983
E,50_249,M,60+,p741,G2,41,4.55,4.7118764,4.282182333232331,4.30009831617405,4.8855555865933225,3.937429569987012,4.940222
E,50_249,M,50-59,p723,G2,5,3.32,4.227884,4.649563603503329,4.0878645591098905,4.548574694274634,4.103318113524169,4.217173
E,50_249,M,60+,p723,G2,40,3.89,4.10679,4.2347058970285625,4.108620253720414,4.9021011901241565,4.041664055358678,4.568274
E,50_249,M,60+,p313,G2,41,3.59,4.8607354,4.505687921801272,4.1630349037564125,6.0618591995187865,4.202697327773054,5.2447777
E,50_249,M,40-49,p833,G2,13,3.99,4.451234,4.253352135628125,4.625460977074874,3.7649453727397995,4.362588378549208,4.303037
E,50_249,M,50-59,p723,G2,3,3.87,4.145941,4.513225333717549,4.062666101303751,4.516507838365302,4.149326658265978,4.2355294
E,50_249,M,40-49,p742,G2,6,3.73,4.5679216,5.317247953198683,4.6233845981407224,4.964658376561319,4.650619609058356,4.5810537
E,50_249,F,40-49,p911,G2,5,3.01,2.7190664,2.8931339160195546,2.579487168997231,3.0674520193809216,2.791086095868209,2.9366646
M,50_249,M,40-49,p211,G3,2,2.59,5.4294133,6.202089368883112,5.960737380872121,6.010366259659518,5.5828592594412285,5.1250587
M,50_249,M,50-59,p352,G3,3,4.83,4.7539477,4.364150175321415,4.708221139815424,4.900702709655159,4.37148423438149,4.8046474
M,50_249,M,30-39,p352,G3,0,3.48,5.1398315,4.418961613686275,4.598431630409291,5.281929075735684,5.259710686952958,4.71345
M,50_249,M,60+,p352,G3,37,3.42,4.093141,4.042714236548504,4.406173983661578,5.238195777550016,4.032679424323646,4.903373
M,50_249,M,30-39,p211,G3,5,5.06,5.750577,6.801795558910532,5.600913895424436,6.236618252688896,5.702218413560993,5.698319
M,50_249,M,50-59,p211,G3,13,3.55,4.936286,5.8768933040163045,5.7564059916392685,5.935559026381699,4.31458133530577,4.747594
M,50_249,F,60+,p352,G3,27,4.96,4.026683,3.953139717151528,4.412553088342318,4.636769058409963,4.357877214164091,3.5704727
M,50_249,M,50-59,p211,G3,27,3.21,4.6551075,6.338824331440737,5.47893110107401,6.160027017747018,4.200765695661442,4.98421
M,50_249,M,50-59,p211,G3,4,5.07,5.703561,5.73533149321663,5.875376053053979,5.791258174789708,4.4570188823993035,4.7314653
M,50_249,M,40-49,p215,G3,5,5.74,7.083288,7.182780767682908,6.187950868701655,6.7239514343570495,7.861961755315501,7.304466
B,1_49,F,30-39,p241,G3,5,5.69,4.641062,4.73215998456024,4.088810127286585,5.070612512321913,4.061857712108117,4.7151284
E,GT_250,M,50-59,p712,G2,26,4.56,4.928069,5.130634314602866,5.058117095829829,4.431516838743812,5.338673045942225,4.762498
E,GT_250,M,40-49,p132,G3,10,5.65,8.856977,9.669572796270684,9.039367000003313,7.62766681853959,9.654310731333233,9.26056
E,GT_250,M,60+,p132,G4,2,14.75,9.897464,11.557043952859246,10.376705393408983,7.522801902368012,8.49632889893683,8.525451
E,GT_250,M,50-59,p712,G2,0,3.55,3.9696183,4.29026888128857,4.344480205003022,4.014647711922506,4.1625432441248265,4.7000794
