nace,esize_class,gender,age_class,lpk,education,experience,target
O,50_249,M,40-49,541,G2,2,2.89
O,50_249,M,50-59,541,G2,2,2.96
O,50_249,M,60+,541,G2,2,2.87
O,50_249,M,50-59,541,G3,2,2.87
O,50_249,M,40-49,541,G2,2,2.85
O,50_249,M,60+,541,G2,2,2.85
O,50_249,M,40-49,541,G2,2,2.85
O,50_249,M,50-59,541,G2,2,2.87
O,50_249,M,60+,541,G3,2,2.89
O,50_249,M,50-59,541,G3,2,3.09
J,1_49,F,60+,241,G2,28,2.17
J,1_49,M,40-49,215,G2,12,2.48
J,1_49,M,60+,215,G4,28,2.5
J,1_49,F,50-59,215,G2,15,2.48
C,1_49,M,40-49,732,G2,1,7.19
C,1_49,M,40-49,216,G3,4,6.47
C,1_49,F,30-39,216,G3,1,5.75
C,1_49,F,50-59,112,G4,1,7.68
C,1_49,M,14-29,216,G3,7,6.12
C,1_49,F,14-29,243,G3,2,4.47
C,1_49,M,40-49,216,G3,1,7.91
C,1_49,F,30-39,243,G3,11,5.75
C,1_49,F,30-39,243,G4,11,8.59
C,1_49,F,14-29,243,G3,7,7.98
C,1_49,F,30-39,121,G4,1,10.03
C,1_49,M,30-39,732,G3,1,6.88
C,1_49,M,50-59,332,G2,2,2.19
C,1_49,F,30-39,216,G3,0,6.47
F,50_249,M,14-29,712,G2,0,3.4
F,50_249,M,50-59,712,G2,0,3.4
F,50_249,M,14-29,712,G2,0,3.4
F,50_249,M,40-49,712,G2,0,3.4
F,50_249,M,14-29,712,G2,0,3.4
F,50_249,M,14-29,712,G2,0,3.4
F,50_249,M,30-39,712,G2,0,3.39
F,50_249,M,14-29,712,G2,0,3.4
F,50_249,M,14-29,712,G2,0,3.4
F,50_249,M,14-29,712,G2,0,3.4
F,50_249,M,14-29,712,G2,2,3.23
F,50_249,M,30-39,712,G2,0,3.4
F,50_249,F,14-29,712,G2,0,3.4
C,1_49,M,50-59,132,G4,8,8.63
C,1_49,M,60+,722,G2,12,6.48
C,1_49,M,40-49,723,G2,4,6.48
J,1_49,F,50-59,351,G2,3,2.24
J,1_49,M,50-59,351,G2,3,2.24
J,1_49,F,50-59,351,G4,3,2.24
J,1_49,F,60+,264,G4,3,2.24
C,50_249,M,40-49,752,G2,19,5.33
C,50_249,F,40-49,752,G2,15,5.58
C,50_249,F,30-39,242,G3,12,4.44
C,50_249,M,30-39,752,G2,11,4.55
C,50_249,M,30-39,214,G3,10,6.03
C,50_249,F,60+,911,G2,10,3.61
C,50_249,M,40-49,752,G2,9,4.88
C,50_249,M,50-59,752,G2,7,4.78
C,50_249,M,30-39,932,G1,4,3.75
C,50_249,M,30-39,752,G2,4,5.33
C,50_249,M,30-39,752,G2,2,4.01
C,50_249,M,50-59,752,G2,1,4.65
C,50_249,M,14-29,752,G2,1,3.95
C,50_249,M,50-59,752,G2,9,4.64
C,50_249,M,14-29,752,G3,6,4.83
C,50_249,M,14-29,752,G2,3,3.55
C,50_249,M,14-29,932,G2,1,3.01
C,50_249,M,14-29,932,G2,6,3.54
C,50_249,M,14-29,932,G2,0,2.45
C,50_249,M,14-29,752,G2,2,2.25
C,50_249,M,40-49,752,G2,14,3.8
C,50_249,M,14-29,122,G3,8,6.01
C,50_249,M,14-29,112,G4,6,13.09
C,50_249,M,50-59,932,G2,6,3.73
B,1_49,M,40-49,132,G4,5,2.19
B,1_49,M,50-59,834,G2,4,6.6
B,1_49,M,30-39,834,G2,4,6.6
B,1_49,F,60+,243,G2,4,2.24
L,1_49,F,40-49,121,G3,15,6.15
L,1_49,F,30-39,334,G4,15,4.1
L,1_49,F,50-59,112,G4,14,6.51
L,1_49,F,40-49,122,G4,11,5.81
L,1_49,F,40-49,332,G4,9,4.23
L,1_49,F,30-39,242,G4,2,4.27
L,1_49,F,30-39,243,G4,2,4.1
L,1_49,F,30-39,242,G4,1,4.23
C,1_49,M,30-39,122,G3,6,4.92
C,1_49,M,40-49,122,G3,6,4.92
C,1_49,M,30-39,311,G3,4,4.92
K,50_249,F,50-59,332,G4,0,5.66
K,50_249,F,50-59,121,G4,10,10.13
K,50_249,M,14-29,332,G3,0,6.44
K,50_249,M,30-39,332,G3,0,5.88
K,50_249,F,50-59,332,G2,0,7.15
K,50_249,F,14-29,261,G4,6,5.92
E,1_49,M,60+,712,G2,0,2.85
E,1_49,M,14-29,712,G2,0,2.84
E,1_49,M,14-29,712,G2,0,3.39
E,1_49,M,14-29,712,G2,0,3.41
E,1_49,M,14-29,712,G2,0,3.93
G,1_49,M,60+,122,G3,26,14.9
J,1_49,M,40-49,133,G3,13,3.28
J,1_49,M,40-49,732,G3,6,3.28
J,1_49,M,50-59,832,G2,5,2.19
J,1_49,M,30-39,265,G3,8,4.92
J,1_49,M,30-39,121,G4,7,4.37
M,1_49,F,30-39,225,G4,9,5.16
M,1_49,F,14-29,225,G3,7,2.72
M,1_49,F,14-29,225,G4,3,5.16
M,1_49,M,14-29,225,G2,1,2.19
N,1_49,F,50-59,122,G4,26,11.03
N,1_49,F,14-29,331,G3,7,5.85
N,1_49,F,50-59,241,G4,24,7.77
N,1_49,M,50-59,122,G4,26,8.46
C,1_49,M,60+,722,G2,8,5.66
C,1_49,M,50-59,722,G2,8,4.48
C,1_49,M,60+,722,G2,8,6.06
C,1_49,M,60+,122,G4,8,7.97
C,50_249,M,60+,818,G2,0,3.97
C,50_249,M,50-59,833,G2,31,4.71
C,50_249,M,50-59,741,G2,3,5.39
C,50_249,M,60+,818,G2,1,6.44
C,50_249,F,30-39,818,G3,1,5.5
C,50_249,M,50-59,722,G2,36,2.79
C,50_249,M,50-59,933,G2,8,3.43
C,50_249,F,50-59,431,G2,38,5.06
C,50_249,M,60+,833,G2,0,4.91
C,50_249,M,60+,311,G2,3,7.34
C,50_249,M,60+,833,G2,7,5.69
